text,department,sentiment,id
"Ottimo hotel nel cuore della splendida Bari. Receptionist disponibili, gentili donne delle pulizie e personale eccellente per la colazione. La nostra camera era così grande e confortevole. Avevamo molte attrazioni raggiungibili a piedi dall'hotel.",Reception,pos,9
La camera è fresca e pulita,Housekeeping,pos,160
cibo di qualità nel complesso,F&B,pos,26
accoglienza fredda tutto sommato,Reception,neg,193
La camera risulta molto pulita,Housekeeping,pos,191
nel complesso servizio veloce tutto sommato,Reception,pos,135
"buffet abbondante, ma migliorabile tutto sommato",F&B,pos,43
personale scortese nel complesso,Reception,neg,163
DIREI CHE CAMERA MOLTO PULITA,Housekeeping,pos,93
Qualità bassa direi,F&B,neg,7
colazionee buona nel complesso,F&B,pos,58
Il servizio di reception è cordiale,Reception,pos,149
La qualità del cibo è ottima,F&B,pos,130
Il servizio di reception è professionale,Reception,pos,151
nel complesso servizio veloce direi,Reception,pos,109
Il personale è lento,Reception,neg,99
nel complesso camera molto pulita,Housekeeping,pos,122
La camera risulta maleodorante,Housekeeping,neg,87
"Le camere non sono brutte ma servizi inesistenti e personale non cordiale. Tv in camera con 4 canali, Wi-Fi debole, parcheggio 25€ al giorno, colazione nella media. Sinceramente con 100€ al giorno mi aspetterei molto di più, non basta avere il prezzo alto per essere un 4 stelle. Bari offre sicuramente di meglio.",Reception,neg,8
"camera molto pulita, ma migliorabile nel complesso",Housekeeping,pos,80
Durante il soggiorno la camera è stata trascurata,Housekeeping,neg,214
"stanze molto pulite e organizzazione del personale ottima e luogo buono perché vicino al centro , ma la colazione lascia desiderare poiché da poca scelta,dovrebbe essere arricchita dando più possibilità di scegliere per esempio nel beveraggio",F&B,neg,16
Il buffet è varia e gustosa,F&B,pos,121
Ottima posizione e personale gentile.,Reception,pos,49
La camera si presenta ben curata,Housekeeping,pos,20
Il personale si è dimostrato ben organizzato,Reception,pos,188
Il buffet è ben preparata,F&B,pos,71
La reception risulta cordiale,Reception,pos,106
attesa lunga tutto sommato,Reception,neg,20
direi che accoglienza fredda tutto sommato,Reception,neg,98
camra SPORCA DURANTE IL SOGGIORNO,Housekeeping,neg,185
Durante il soggiorno la camera è stata non pulita,Housekeeping,neg,102
